instrument,stock_name,score,T_peak,peak_close,pre_peak_surge,bear_weeks,drawdown_ratio,trough_date,trough_close,drawdown_in_range,bear_duration_ok,base_start,base_end,base_weeks,vol_med_base,base_formed,trigger_week,trigger_recency_days,close_vs_ma120,close_vs_ma250,vr,launch_ma,launch_volume_vr,launch_volume_base,pre_trigger_big_days,quiet_pre_trigger,current_close_vs_ma20w,current_close_vs_ma120w,recent_3m_big_days,post_trigger_ret_pct,post_trigger_big_days,merge_sources,rank_4a,score_4a,rank_4b,score_4b,detail_4b,mode,date_start,close_start,date_end,close_end,ret
601216.SH,君正集团,72,2022-06-24,4.72,True,81,0.3421,2024-02-02,3.1053457390025714,True,True,,,,,False,2024-02-09,105,1.0157,,2.4338,True,True,False,0.0,True,1.1012,1.043,0,9.69,0.0,['4A'],48.0,72.0,,,,,2024-05-24,3.8704517671221033,2024-08-23,3.559264391260038,-8.04
601336.SH,新华保险,72,2019-04-19,54.29,False,78,0.6546,2022-10-28,18.75,True,True,,,,,False,2023-05-12,378,1.0958,,2.7924,True,True,False,0.0,True,1.0947,1.0921,0,-11.88,1.0,['4A'],47.0,72.0,,,,,2024-05-24,31.34659591642775,2024-08-23,28.80947680990323,-8.09
600873.SH,梅花生物,52,,,True,57,0.3219,2023-08-25,,,,,,,,,2024-01-26,119,,,1.5524,True,,,,,1.0664,1.211,0,9.85,,['4B'],,,22.0,52.0,,4B_fresh_breakout,2024-05-24,10.255725894889123,2024-08-23,9.372622727981524,-8.61
000008.SZ,神州高铁,61,2019-04-04,4.95,False,144,0.5859,2024-02-02,2.049999992034199,True,True,,,,,False,2024-03-08,77,1.0174,,3.1066,True,True,False,1.0,True,0.9445,0.9016,3,-15.17,1.0,['4A'],117.0,61.0,,,,,2024-05-24,2.1799965084979567,2024-08-23,1.9900221965905707,-8.71
603706.SH,东方环宇,55,2019-01-11,23.85,False,107,0.5388,2024-02-09,10.999780156506116,True,True,,,,,False,2024-05-10,14,1.0008,,2.1719,True,True,False,4.0,False,1.1282,0.9875,3,-2.24,0.0,['4A'],137.0,55.0,,,,,2024-05-24,15.001774430414379,2024-08-23,13.646481044609642,-9.03
002244.SZ,滨江集团,33,2022-09-09,12.2,True,79,0.5168,2024-04-12,5.89493560323704,True,True,,,,,False,2024-05-17,7,1.2041,,3.8488,True,True,False,3.0,False,1.2637,1.0694,4,-10.75,0.0,['4A'],186.0,33.0,,,,,2024-05-24,8.798135025898548,2024-08-23,7.99309253235312,-9.15
600928.SH,西安银行,73,2019-03-22,11.1,False,82,0.7396,2022-10-28,2.89,True,True,2022-12-09,2023-05-05,21.0,65290131.0,True,2024-05-03,21,1.0019,,0.5935,True,False,False,0.0,True,1.0439,1.0435,0,1.67,0.0,['4A'],46.0,73.0,,,,,2024-05-24,3.4896291216118627,2024-08-23,3.163197923833888,-9.35
603530.SH,神马电力,42,,,False,31,0.6445,2022-04-29,,,,,,,,,2023-12-29,147,,,2.3589,True,,,,,1.1536,1.4429,0,8.34,,['4B'],,,28.0,42.0,,4B_fresh_breakout,2024-05-24,21.833874375688094,2024-08-23,19.766834712486077,-9.47
002948.SZ,青岛银行,48,2019-03-08,6.0,False,85,0.5617,2022-11-04,2.63,True,True,2022-11-11,2023-05-05,25.0,86906778.0,True,2024-04-19,35,1.01,,1.4945,True,True,True,0.0,True,1.1533,1.1551,0,12.71,0.0,"['4A', '4B']",159.0,48.0,24.0,47.0,"{'instrument': '002948.SZ', 'stock_name': '青岛银行', 'score': 47, 'mode': '4B_fresh_breakout', 'current_close_vs_ma20w': 1.1533, 'current_close_vs_ma120w': 1.1551, 'recent_3m_big_days': 0, 'post_trigger_ret_pct': 12.71, 'trigger_recency_days': 35, 'trigger_week': '2024-04-19', 'vr': 1.4945, 'launch_ma': True, 'drawdown_ratio': 0.5617, 'bear_weeks': 85, 'trough_date': '2022-11-04', 'pre_peak_surge': False}",,2024-05-24,3.5220694099491174,2024-08-23,3.1691594610879483,-10.02
300349.SZ,金卡智能,39,,,False,76,0.6075,2022-09-30,,,,,,,,,2024-01-19,126,,,2.9441,True,,,,,1.0784,1.1828,1,12.72,,['4B'],,,31.0,39.0,,4B_fresh_breakout,2024-05-24,12.5626312983061,2024-08-23,11.258388242591694,-10.38
000156.SZ,华数传媒,77,2019-03-22,12.05,False,79,0.4971,2022-09-30,6.06,True,True,2022-09-30,2023-04-07,26.0,31654360.0,True,2023-05-12,378,1.2283,,3.9767,True,True,True,0.0,True,0.9571,0.9154,1,-29.16,2.0,['4A'],21.0,77.0,,,,,2024-05-24,6.661674959554318,2024-08-23,5.952986134069816,-10.64
600645.SH,中源协和,54,2022-01-14,26.06,False,103,0.4386,2024-02-02,14.63000965786822,True,True,,,,,False,2024-05-10,14,1.0756,,4.3522,True,True,False,2.0,True,1.0387,0.9449,2,-12.04,0.0,['4A'],145.0,54.0,,,,,2024-05-24,17.75001254652538,2024-08-23,15.810002975690212,-10.93
000830.SZ,鲁西化工,51,2022-06-10,16.42,True,83,0.4658,2024-02-02,8.77230938575729,True,True,,,,,False,2024-05-10,14,1.0035,,2.0368,True,True,False,0.0,True,1.1688,1.0112,0,1.68,0.0,['4A'],152.0,51.0,,,,,2024-05-24,11.603884805436953,2024-08-23,10.33598974507818,-10.93
000677.SZ,恒天海龙,54,2019-10-18,4.83,False,117,0.5797,2024-02-09,2.030002200832987,True,True,,,,,False,2024-04-05,49,1.0208,,1.6095,True,True,False,4.0,False,0.9817,0.9006,3,-13.29,0.0,['4A'],143.0,54.0,,,,,2024-05-24,2.740002970582456,2024-08-23,2.440002645336201,-10.95
000559.SZ,万向钱潮,28,2019-04-19,6.38,False,142,0.3787,2024-02-02,3.9640458870236244,True,True,,,,,False,2024-03-29,56,1.001,,1.2061,True,True,False,1.0,True,,,0,-1.38,0.0,['4A'],191.0,28.0,,,,,2024-05-24,4.7303743471835284,2024-08-23,4.210542186678638,-10.99
600843.SH,上工申贝,97,,,False,147,0.5749,2024-02-09,,,,,,,,,2024-03-22,63,,,4.489,True,,,,,1.5496,1.6318,10,44.24,,['4B'],,,5.0,97.0,,4B_fresh_breakout,2024-05-24,8.836303880250505,2024-08-23,7.840042000870798,-11.27
300350.SZ,华鹏飞,55,2019-04-04,7.77,False,145,0.4736,2024-02-09,4.089962763890389,True,True,,,,,False,2024-03-29,56,1.057,,1.5773,True,True,False,1.0,True,0.9775,0.9313,2,-11.68,2.0,['4A'],132.0,55.0,,,,,2024-05-24,4.990094762033961,2024-08-23,4.410125531898176,-11.62
300488.SZ,恒锋工具,73,2022-02-25,30.56,False,98,0.4494,2024-02-02,16.827021056086615,True,True,,,,,False,2024-03-15,70,1.0273,,0.6934,True,False,False,2.0,True,0.9714,0.9152,0,-8.38,0.0,['4A'],45.0,73.0,,,,,2024-05-24,20.890452492416006,2024-08-23,18.431533539559858,-11.77
603568.SH,伟明环保,65,2022-07-15,31.13,True,78,0.5376,2024-02-02,14.394052964059208,True,True,,,,,False,2024-04-19,35,1.0352,,1.8013,True,True,False,0.0,True,1.1203,1.0396,0,2.29,0.0,['4A'],74.0,65.0,,,,,2024-05-24,20.265414622695893,2024-08-23,17.873988493553558,-11.8
