instrument,stock_name,score,T_peak,peak_close,pre_peak_surge,bear_weeks,drawdown_ratio,trough_date,trough_close,drawdown_in_range,bear_duration_ok,base_start,base_end,base_weeks,vol_med_base,base_formed,trigger_week,trigger_recency_days,close_vs_ma120,close_vs_ma250,vr,launch_ma,launch_volume_vr,launch_volume_base,pre_trigger_big_days,quiet_pre_trigger,current_close_vs_ma20w,current_close_vs_ma120w,recent_3m_big_days,post_trigger_ret_pct,post_trigger_big_days,merge_sources,rank_4a,score_4a,rank_4b,score_4b,mode,date_start,close_start,date_end,close_end,ret
002796.SZ,世嘉科技,67,,,False,123,0.7795,2024-02-09,,,,,,,,,2025-08-08,145,,,3.2934,True,,,,,1.4306,2.2709,4,87.36,,['4B'],,,66.0,67.0,4B_fresh_breakout,2025-12-31,27.729799138474235,2026-03-26,45.61,64.48
300480.SZ,光力科技,90,2022-01-21,26.23,True,134,0.5864,2024-09-20,10.847686011524234,True,True,2025-03-14,2025-08-15,23.0,46454586.0,True,2025-08-22,131,1.0673,,1.6823,True,True,True,1.0,True,0.9861,1.0365,1,-7.06,1.0,['4A'],243.0,90.0,,,,2025-12-31,16.710068350310504,2026-03-26,27.02,61.7
002218.SZ,拓日新能,62,,,False,100,0.5788,2024-08-23,,,,,,,,,2025-11-07,54,,,0.7126,True,,,,,1.1134,1.1948,3,12.15,,['4B'],,,74.0,62.0,4B_fresh_breakout,2025-12-31,4.340061079336175,2026-03-26,6.87,58.29
300335.SZ,迪森股份,91,2019-04-04,7.59,False,145,0.532,2024-02-09,3.5523706223496214,True,True,2025-01-03,2025-06-27,26.0,65868106.0,True,2025-07-04,180,1.2577,,2.1626,True,True,True,0.0,True,0.9667,1.1547,0,-3.68,1.0,['4A'],205.0,91.0,,,,2025-12-31,5.759982666232606,2026-03-26,9.09,57.81
600844.SH,金煤科技,92,2019-12-20,5.92,False,130,0.6199,2024-07-19,2.2500283398314767,True,True,,,,,False,2024-11-15,411,1.1944,,3.6983,True,True,False,3.0,False,0.9275,0.9883,0,-17.24,8.0,['4A'],95.0,92.0,,,,2025-12-31,2.879978600435368,2026-03-26,4.54,57.64
002445.SZ,中南文化,95,2022-01-07,3.23,True,132,0.4984,2024-08-23,1.6200414134890315,True,True,,,,,False,2024-10-25,432,1.0183,,2.0352,True,True,False,2.0,True,0.9899,1.1508,1,14.04,2.0,['4A'],16.0,95.0,,,,2025-12-31,2.5999979887802227,2026-03-26,4.04,55.38
002440.SZ,闰土股份,92,2019-04-19,15.07,False,165,0.6589,2024-07-19,5.140073614590772,True,True,,,,,False,2024-10-04,453,1.0139,,1.0886,True,True,False,0.0,True,1.0164,1.1445,0,13.15,3.0,['4A'],78.0,92.0,,,,2025-12-31,7.470006708513061,2026-03-26,11.14,49.13
301081.SZ,严牌股份,91,2022-01-14,15.92,False,104,0.6271,2024-02-09,5.935882476630861,True,True,2025-01-24,2025-06-13,21.0,10223673.0,True,2025-06-20,194,1.0099,,1.0289,True,True,False,0.0,True,0.9568,1.1247,0,14.59,0.0,['4A'],184.0,91.0,,,,2025-12-31,10.129688457326855,2026-03-26,14.94,47.49
603693.SH,江苏新能,92,2022-02-25,19.03,True,129,0.5636,2024-09-13,8.303785649371866,True,True,2024-09-20,2025-01-27,20.0,22284079.0,True,2025-04-03,272,1.3046,,5.4679,True,True,True,4.0,False,0.9376,1.0418,0,-19.21,5.0,['4A'],103.0,92.0,,,,2025-12-31,11.860349712083602,2026-03-26,17.41,46.79
603876.SH,鼎胜新材,92,,,True,112,0.6899,2025-04-11,,,,,,,,,2025-09-05,117,,,4.08,True,,,,,1.2275,1.4665,2,35.47,,['4B'],,,11.0,92.0,4B_fresh_breakout,2025-12-31,15.01021355161564,2026-03-26,21.83,45.43
002109.SZ,兴化股份,92,2022-09-09,6.19,False,101,0.6187,2024-09-13,2.3600410659887308,True,True,,,,,False,2025-06-20,194,1.0241,,8.0372,True,True,False,4.0,False,0.941,0.9769,0,-9.67,3.0,['4A'],114.0,92.0,,,,2025-12-31,3.5498728052287034,2026-03-26,4.94,39.16
300567.SZ,精测电子,77,,,True,72,0.5822,2024-09-20,,,,,,,,,2025-09-05,117,,,2.1759,True,,,,,1.2238,1.3625,0,29.18,,['4B'],,,36.0,77.0,4B_fresh_breakout,2025-12-31,91.19994753675464,2026-03-26,125.73,37.86
002756.SZ,永兴材料,97,,,False,142,0.7609,2025-04-25,,,,,,,,,2025-10-24,68,,,1.0683,True,,,,,1.2566,1.3793,3,34.02,,['4B'],,,8.0,97.0,4B_fresh_breakout,2025-12-31,54.24994529554863,2026-03-26,73.83,36.09
300185.SZ,通裕重工,92,2022-01-07,3.4,False,124,0.4957,2024-06-28,1.7145704324693887,True,True,,,,,False,2024-10-18,439,1.0077,,2.1949,True,True,False,2.0,True,0.9476,1.1373,0,17.73,3.0,['4A'],82.0,92.0,,,,2025-12-31,2.839962861090936,2026-03-26,3.84,35.21
300055.SZ,万邦达,59,,,False,132,0.7014,2024-08-23,,,,,,,,,2025-07-04,180,,,1.7654,True,,,,,1.1468,1.4575,1,36.74,,['4B'],,,97.0,59.0,4B_fresh_breakout,2025-12-31,8.14998781666615,2026-03-26,10.84,33.01
002207.SZ,准油股份,93,2022-03-04,12.24,True,121,0.683,2024-07-26,3.880158286493265,True,True,,,,,False,2025-06-06,208,1.0179,,0.7054,True,False,False,4.0,False,0.9264,1.1855,2,21.11,12.0,['4A'],75.0,93.0,,,,2025-12-31,7.399870033693909,2026-03-26,9.7,31.08
000875.SZ,吉电股份,94,2022-03-11,8.96,True,96,0.5895,2024-02-02,3.677920708414869,True,True,2024-11-01,2025-04-03,23.0,168783534.0,True,2025-04-11,264,1.0416,,1.9564,True,True,True,1.0,True,0.9871,1.1191,0,8.82,0.0,['4A'],57.0,94.0,,,,2025-12-31,5.639925447306738,2026-03-26,7.26,28.73
600307.SH,酒钢宏兴,94,2019-04-04,2.5,False,114,0.532,2024-06-21,1.1700394828262797,True,True,,,,,False,2024-10-25,432,1.0022,,4.4761,True,True,False,1.0,True,0.9854,1.1081,0,3.78,4.0,['4A'],39.0,94.0,,,,2025-12-31,1.6500678074296238,2026-03-26,2.09,26.66
300137.SZ,先河环保,74,,,False,163,0.679,2024-06-07,,,,,,,,,2025-09-19,103,,,1.6635,True,,,,,1.3029,1.764,0,58.9,,['4B'],,,43.0,74.0,4B_fresh_breakout,2025-12-31,10.360077779239974,2026-03-26,13.1,26.45
600691.SH,潞化科技,90,2022-04-15,5.2,True,119,0.7269,2024-08-23,1.4200052938389462,True,True,,,,,False,2025-07-25,159,1.0194,,0.955,True,False,False,1.0,True,0.9509,1.125,1,7.39,4.0,['4A'],234.0,90.0,,,,2025-12-31,2.759970080795087,2026-03-26,3.48,26.09
002256.SZ,兆新股份,57,,,False,124,0.7356,2024-06-28,,,,,,,,,2025-08-29,124,,,2.5836,True,,,,,1.061,1.4567,3,8.39,,['4B'],,,100.0,57.0,4B_fresh_breakout,2025-12-31,3.4900319796321635,2026-03-26,4.39,25.79
300143.SZ,盈康生命,91,2022-01-14,14.7,False,131,0.5143,2024-08-23,7.140094761626933,True,True,2025-01-17,2025-06-06,21.0,22739809.0,True,2025-06-27,187,1.0009,,0.6182,True,False,False,0.0,True,0.9171,1.0502,0,4.0,1.0,['4A'],193.0,91.0,,,,2025-12-31,9.880059958446441,2026-03-26,12.39,25.4
300569.SZ,天能重工,91,2022-03-04,14.91,True,129,0.7361,2024-09-20,3.934140735678535,True,True,2024-11-01,2025-03-14,20.0,58478967.5,True,2025-03-21,285,1.006,,3.8782,True,True,True,2.0,True,0.9391,1.0622,0,-9.04,1.0,['4A'],146.0,91.0,,,,2025-12-31,5.740033449663953,2026-03-26,7.14,24.39
002663.SZ,普邦股份,92,2019-04-04,4.0,False,164,0.7025,2024-06-28,1.1899552795230617,True,True,,,,,False,2024-11-01,425,1.0206,,4.1739,True,True,False,1.0,True,0.8936,1.0592,1,4.42,7.0,['4A'],83.0,92.0,,,,2025-12-31,1.8900370607125094,2026-03-26,2.34,23.81
